db_table,columns,dashboards
ods_static_data.dim_dates,"['date', 'date_key', 'day', 'day_of_week', 'day_of_year', 'last_date_of_month', 'month', 'month_name', 'quarter', 'week', 'weekday_name', 'year']","{'Knowledge Gain': 'https://tableau.everfiapps-dev.net/#/views/LearnerResponseAnalysisKnowledgeGain/KnowledgeGain', 'Overview': 'https://tableau.everfiapps-dev.net/#/views/LearnerResponseAnalysisKnowledgeGain/Overview'}"
ods.dim_evalufi_sections,[],{'Winning Solution for POC': 'https://tableau.everfiapps-dev.net/#/views/DoDPOC/WinningSolutionforPOC'}
ods.dim_evalufi_sections,[],{'Winning Solution for POC': 'https://tableau.everfiapps-dev.net/#/views/DoDPOC/WinningSolutionforPOC'}
tsu,[],{'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}
tsu,[],{'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}
tsu,[],{'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}
tsu,[],{'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}
tsu,[],{'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}
tsu,[],{'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}
tsu,[],{'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}
tsu,[],{'Dashboard': 'https://tableau.everfiapps-dev.net/#/views/SurveyRepeater/Dashboard'}
reporting_data.ceos_sponsored_learning_enrollment_activities,[],"{'Impact Dashboard': 'https://tableau.everfiapps-dev.net/#/views/ImpactDashboard/ImpactDashboard', 'Report Builder': 'https://tableau.everfiapps-dev.net/#/views/ReportBuilder/ReportBuilder'}"
reporting_data.ceos_sponsored_learning_enrollment_activities,[],"{'Impact Dashboard': 'https://tableau.everfiapps-dev.net/#/views/ImpactDashboard/ImpactDashboard', 'Report Builder': 'https://tableau.everfiapps-dev.net/#/views/ReportBuilder/ReportBuilder'}"
homeroom_data.schools,[],{'Action Plan Dashboard': 'https://tableau.everfiapps-dev.net/#/views/ActionPlanDashboardOrgId/ActionPlanDashboard'}
homeroom_data.schools,[],{'Action Plan Dashboard': 'https://tableau.everfiapps-dev.net/#/views/ActionPlanDashboardOrgId/ActionPlanDashboard'}
action_plan_item,[],{'Action Plan Dashboard': 'https://tableau.everfiapps-dev.net/#/views/ActionPlanDashboardOrgId/ActionPlanDashboard'}
action_plan_item,[],{'Action Plan Dashboard': 'https://tableau.everfiapps-dev.net/#/views/ActionPlanDashboardOrgId/ActionPlanDashboard'}
ods.dim_contents,"['content_create_date', 'content_curriculum_id', 'content_id', 'content_isactive', 'content_key', 'content_title', 'content_type', 'content_update_date', 'content_uuid', 'sourcesystem_id']",{'@Work Module Activity': 'https://tableau.everfiapps-dev.net/#/views/SingleChartbyTopic/WorkModuleActivity'}
reference_data.user_lob_team_admin,[],{'Student Engagement': 'https://tableau.everfiapps-dev.net/#/views/StudentEngagementDashboard/StudentEngagement'}
